,two_average TP,two_average FP,two_average FN,two_average TN,matched_filter TP,matched_filter FP,matched_filter FN,matched_filter TN,swt TP,swt FP,swt FN,swt TN,engzee TP,engzee FP,engzee FN,engzee TN,christov TP,christov FP,christov FN,christov TN,hamilton TP,hamilton FP,hamilton FN,hamilton TN,pan_tompkins TP,pan_tompkins FP,pan_tompkins FN,pan_tompkins TN
116,572,1838,1840,645750,357,2030,2055,645558,463,1927,1949,645661,1603,726,809,646862,1531,2389,881,645199,1,2385,2411,645203,372,2018,2040,645570
202,127,2035,2009,645829,665,1465,1471,646399,551,1576,1585,646288,1528,584,608,647280,1531,604,605,647260,849,1275,1287,646589,46,2086,2090,645778
221,1502,966,925,646607,692,1734,1735,645839,891,1360,1536,646213,1617,597,810,646976,1628,789,799,646784,140,2267,2287,645306,3,2418,2424,645155
203,1131,1787,1849,645233,1801,1044,1179,645976,282,2669,2698,644351,353,2154,2627,644866,25,7146,2955,639874,1218,1694,1762,645326,14,2928,2966,644092
230,213,2043,2043,645701,258,1998,1998,645746,294,1962,1962,645782,1873,383,383,647361,27,7140,2229,640604,38,2218,2218,645526,168,2088,2088,645656
100,1834,438,439,647289,1160,1112,1113,646615,704,1567,1569,646160,1089,1182,1184,646545,1087,1185,1186,646542,185,2089,2088,645638,1024,1248,1249,646479
105,937,1650,1635,645778,812,1814,1760,645614,813,1765,1759,645663,171,2392,2401,645036,170,2438,2402,644990,16,2734,2556,644694,1436,1166,1136,646262
108,49,1755,1714,646482,95,1760,1668,646477,28,1884,1735,646353,308,1961,1455,646276,13,7846,1750,640391,12,2106,1751,646131,3,1944,1760,646293
121,637,1227,1226,646910,1181,685,682,647452,205,1695,1658,646442,930,970,933,647167,936,929,927,647208,226,1639,1637,646498,321,1542,1542,646595
122,1130,1346,1346,646178,2290,186,186,647338,153,2323,2323,645201,785,1690,1691,645834,785,1692,1691,645832,0,2476,2476,645048,1724,752,752,646772
104,8,2223,2221,645548,405,1730,1824,646041,149,2108,2080,645663,130,1976,2099,645795,23,8477,2206,639294,18,2244,2211,645527,8,2246,2221,645525
208,1159,1706,1796,645339,938,1999,2017,645046,927,1123,2028,645922,800,1766,2155,645279,530,7416,2425,639629,639,1591,2316,645454,48,2885,2907,644160
111,121,2004,2003,645872,84,2072,2040,645804,330,1795,1794,646081,1,1512,2123,646364,2,2121,2122,645755,511,1614,1613,646262,179,1945,1945,645931
115,541,1411,1412,646636,185,1768,1768,646279,60,1893,1893,646154,1578,375,375,647672,1578,376,375,647671,225,1946,1728,646101,12,1941,1941,646106
232,479,1850,1301,646370,0,1834,1780,646386,112,1677,1668,646543,1298,830,482,647390,1345,441,435,647779,183,1610,1597,646610,39,1749,1741,646471
217,1,2205,2207,645587,0,2226,2208,645566,5,2196,2203,645596,131,817,2077,646975,189,2013,2019,645779,21,2182,2187,645610,415,1793,1793,645999
107,0,2136,2137,645727,0,2151,2137,645712,1,2124,2136,645739,0,628,2137,647235,1,4271,2136,643592,10,2120,2127,645743,6,2127,2131,645736
214,229,2040,2033,645698,401,1890,1861,645848,557,1682,1705,646056,1357,881,905,646857,27,8617,2235,639121,724,1531,1538,646207,566,1692,1696,646046
205,2166,479,490,646865,1257,1386,1399,645958,1310,1319,1346,646025,1117,1475,1539,645869,1117,1532,1539,645812,94,2553,2562,644791,474,2177,2182,645167
234,1650,1100,1103,646147,1143,1610,1610,645637,2050,694,703,646553,711,2038,2042,645209,711,2039,2042,645208,0,2762,2753,644485,830,1923,1923,645324
112,1815,724,724,646737,1095,1449,1444,646012,685,1855,1854,645606,673,1862,1866,645599,676,1863,1863,645598,862,1679,1677,645782,76,2463,2463,644998
228,377,1769,1676,646178,1074,1125,979,646822,599,1514,1454,646433,121,2033,1932,645914,105,3640,1948,644307,634,1426,1419,646521,424,1649,1629,646298
209,600,2406,2405,644589,821,2186,2184,644809,370,2634,2635,644361,2467,534,538,646461,2468,537,537,646458,606,2400,2399,644595,101,2904,2904,644091
207,0,2183,1860,645957,0,2130,1860,646010,1,1781,1859,646359,34,408,1826,647732,19,8599,1841,639541,0,1900,1860,646240,0,2084,1860,646056
220,75,1972,1973,645980,189,1858,1859,646094,262,1785,1786,646167,1538,508,510,647444,1539,508,509,647444,9,2039,2039,645913,412,1636,1636,646316
201,810,1225,1153,646812,459,1477,1504,646560,392,1483,1571,646554,1465,437,498,647600,1480,446,483,647591,95,1799,1868,646238,530,1383,1433,646654
212,235,2512,2513,644740,1490,1259,1258,645993,1038,1704,1710,645548,2037,709,711,646543,2038,710,710,646542,88,2735,2660,644517,459,2289,2289,644963
222,282,2226,2201,645291,1102,1327,1381,646190,565,1922,1918,645595,896,1539,1587,645978,4,8786,2479,638731,25,2480,2458,645037,187,2300,2296,645217
213,2260,989,991,645760,1738,1509,1513,645240,1157,1995,2094,644754,294,2936,2957,643813,300,2962,2951,643787,1080,2151,2171,644598,623,2627,2628,644122
231,798,1205,773,647224,1369,202,202,648227,728,837,843,647592,26,1544,1545,646885,26,1546,1545,646883,168,1404,1403,647025,472,1099,1099,647330
119,739,1255,1248,646758,463,1536,1524,646477,1002,981,985,647032,938,1050,1049,646963,938,1052,1049,646961,41,1948,1946,646065,180,1808,1807,646205
114,1,1904,1878,646217,316,1952,1563,646169,8,1875,1871,646246,0,1844,1879,646277,0,3359,1879,644762,4,1879,1875,646242,8,1876,1871,646245
109,826,1705,1706,645763,31,2499,2501,644969,143,2399,2389,645069,34,3148,2498,644320,42,2485,2490,644983,796,1730,1736,645738,689,1840,1843,645628
200,1151,1463,1450,645936,291,2314,2310,645085,372,2258,2229,645141,1241,757,1360,646642,1276,1320,1325,646079,244,2353,2357,645046,90,2512,2511,644887
101,742,1126,1123,647009,655,1212,1210,646923,237,1628,1628,646507,1,1852,1864,646283,37,8030,1828,640105,938,930,927,647205,688,1180,1177,646955
118,25,2259,2253,645463,1,2278,2277,645444,218,2064,2060,645658,704,1713,1574,646009,42,8317,2236,639405,1,2277,2277,645445,3,2275,2275,645447
210,1768,867,882,646483,1490,1130,1160,646220,1038,1585,1612,645765,269,2213,2381,645137,30,8442,2620,638908,469,2092,2181,645258,765,1863,1885,645487
124,983,640,636,647741,310,1307,1309,647074,175,1444,1444,646937,1,1558,1618,646823,3,1615,1616,646766,359,1251,1260,647130,31,1589,1588,646792
102,1226,961,961,646852,100,2087,2087,645726,861,1228,1326,646585,24,612,2163,647201,28,2159,2159,645654,58,2129,2129,645684,100,2087,2087,645726
219,1106,1106,1048,646740,523,1629,1631,646217,948,1202,1206,646644,654,1446,1500,646400,665,1484,1489,646362,1084,1058,1070,646788,273,1882,1881,645964
103,1311,773,773,647143,826,1254,1258,646662,279,1804,1805,646112,1439,644,645,647272,1439,644,645,647272,248,1834,1836,646082,560,1521,1524,646395
117,1,1534,1534,646931,2,3040,1533,645425,0,1536,1535,646929,1,1534,1534,646931,1,1535,1534,646930,3,1922,1532,646543,60,1475,1475,646990
123,0,1527,1518,646955,246,1274,1272,647208,556,958,962,647524,1288,227,230,648255,0,8762,1518,639720,34,1481,1484,647001,209,1306,1309,647176
223,11,2594,2594,644801,54,2531,2551,644864,26,2340,2579,645055,541,1949,2064,645446,613,1987,1992,645408,129,2464,2476,644931,23,2580,2582,644815
113,858,936,937,647269,813,1037,982,647168,198,1596,1597,646609,1013,781,782,647424,1014,782,781,647423,783,1012,1012,647193,266,1530,1529,646675
215,115,3245,3248,643392,674,2688,2689,643949,1512,1848,1851,644789,2457,900,906,645737,2460,903,903,645734,345,3015,3018,643622,414,2948,2949,643689
106,913,1171,1114,646802,789,1236,1238,646737,828,877,1199,647096,412,1613,1615,646360,20,5583,2007,642390,712,1288,1315,646685,556,1471,1471,646502
233,899,2175,2180,644746,1004,2084,2075,644837,1057,2001,2022,644920,1055,1605,2024,645316,564,8285,2515,638636,544,2520,2535,644401,760,2314,2319,644607
